start,end
"[58.285537, 26.367609]","[58.285552, 26.368483]"
"[58.28326, 26.379413]","[58.283381, 26.380883]"
"[58.283869, 26.384059]","[58.28408, 26.385722]"
"[58.284495, 26.390646]","[58.284884, 26.391504]"
"[58.288737, 26.392151]","[58.289012, 26.392427]"
"[58.29173, 26.398505]","[58.292001, 26.39932]"
"[58.291088, 26.402807]","[58.290682, 26.40506]"
"[58.286565, 26.417327]","[58.286522, 26.417372]"
"[58.28367, 26.420061]","[58.283629, 26.420122]"
"[58.281658, 26.424218]","[58.281637, 26.424343]"
"[58.281472, 26.426856]","[58.281363, 26.427105]"
"[58.271327, 26.431675]","[58.271283, 26.431656]"
"[58.268276, 26.430567]","[58.268065, 26.43056]"
"[58.266741, 26.432236]","[58.266464, 26.432301]"
"[58.262881, 26.414609]","[58.262683, 26.413697]"
"[58.262393, 26.409518]","[58.26211, 26.408955]"
"[58.260214, 26.408059]","[58.260014, 26.408145]"
"[58.256661, 26.41164]","[58.256246, 26.4116]"
"[58.255897, 26.411543]","[58.255543, 26.411516]"
"[58.254855, 26.411481]","[58.254567, 26.411026]"
"[58.253603, 26.411304]","[58.253552, 26.411487]"
"[58.251978, 26.412841]","[58.251827, 26.412943]"
